Product URL,Name,Rating,Number of Ratings,Number of Reviews,Compressor Type,Built-in Stabilizer,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/whirlpool-215-l-frost-free-triple-door-refrigerator/p/itm0da10469baf2b?pid=RFRHYFQ6ZJDWV4ZZ&lid=LSTRFRHYFQ6ZJDWV4ZZQBOB3O&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_1&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvi5ccFnp4TIiKb4jn-54sGjvZIYdO9W9M8Ft6yolLuTYw%3D%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 215 L Frost Free Triple Door Refrigerator,4.3,39859,4287,Reciprocating Compressor,Yes,1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor,24490,30150,18 
https://www.flipkart.com/godrej-180-l-direct-cool-single-door-4-star-refrigerator-large-vegetable-tray-2-25-bottle-space/p/itm0e63bc19caef2?pid=RFRHFCQSGC96EB6H&lid=LSTRFRHFCQSGC96EB6HOJZVFD&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_2&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jviucx0iOBHf0J8XZvKDfhOAfTYw_TuLE8jx-4WlU48XZg%3D%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 180 L Direct Cool Single Door 4 Star Refrigerator  with Large Vegetable Tray And 2.25 L Bottle ...,4.4,7581,475,Fixed speed compressor,Yes,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,14990,21990,31 
https://www.flipkart.com/samsung-183-l-direct-cool-single-door-4-star-refrigerator-base-drawer-digital-inverter/p/itmff9626696387c?pid=RFRGHJPXZBG6Z7XY&lid=LSTRFRGHJPXZBG6Z7XYLWPRXX&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&spotlightTagId=FkPickId_j9e%2Fabm%2Fhzg&srno=s_1_3&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGHJPXZBG6Z7XY.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,4.5,62143,4093,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",16490,22999,28 
https://www.flipkart.com/samsung-183-l-direct-cool-single-door-4-star-refrigerator-base-drawer-digital-inverter/p/itm0e72f8c5beb0d?pid=RFRGHJPXATRDHYHF&lid=LSTRFRGHJPXATRDHYHFHFTCA4&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&spotlightTagId=BestsellerId_j9e%2Fabm%2Fhzg&srno=s_1_4&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGHJPXATRDHYHF.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,4.5,62143,4093,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",16490,22999,28 
https://www.flipkart.com/samsung-183-l-direct-cool-single-door-5-star-refrigerator-base-drawer-digital-inverter/p/itm2b614c980a0e3?pid=RFRGW5UPYV7K4WRA&lid=LSTRFRGW5UPYV7K4WRATY20RY&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_5&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGW5UPYV7K4WRA.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,4.5,62143,4093,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",17690,22999,23 
https://www.flipkart.com/samsung-236-l-frost-free-double-door-3-star-convertible-refrigerator-digital-inverter-display/p/itm5d34d4279e9f1?pid=RFRGPHMKVNFYGACW&lid=LSTRFRGPHMKVNFYGACWPPYLLU&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_6&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGPHMKVNFYGACW.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter and Displa...,4.3,20152,1447,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",26990,40990,34 
https://www.flipkart.com/samsung-183-l-direct-cool-single-door-5-star-refrigerator-base-drawer-digital-inverter/p/itm2bae2ad2801e8?pid=RFRGW5UPKHNTW67W&lid=LSTRFRGW5UPKHNTW67WIKJBAY&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&spotlightTagId=BestsellerId_j9e%2Fabm%2Fhzg&srno=s_1_7&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGW5UPKHNTW67W.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,4.5,62143,4093,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",17690,22999,23 
https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-2-star-refrigerator/p/itmd9194a8de37ea?pid=RFRGHRHHPA7UZFGW&lid=LSTRFRGHRHHPA7UZFGW1AYWEK&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_8&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvjYQxayEMfmfqDBVEni5g1kIVOesOWp7beHmBW27afTo0Ksf8s6I2Oz2HOgbXTo_9U%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,4.3,19088,1179,1 Year on Product and 10 Years on the Compressor,N/A,1 Year on Product and 10 Years on the Compressor,14190,17000,16 
https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-3-star-refrigerator/p/itm19c3f8212ab7d?pid=RFRGHRHH5CHAQ8EK&lid=LSTRFRGHRHH5CHAQ8EKU1IX7L&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_9&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGHRHH5CHAQ8EK.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 184 L Direct Cool Single Door 3 Star Refrigerator,4.3,13478,743,1 Year on Product and 10 Years on Compressor from Whirlpool,Yes,1 Year on Product and 10 Years on Compressor from Whirlpool,14490,17200,15 
https://www.flipkart.com/godrej-183-l-direct-cool-single-door-3-star-refrigerator-jumbo-vegetable-tray-toughened-glass-shelves/p/itm90f2ef108b3d3?pid=RFRGZNRAW8MFVHDQ&lid=LSTRFRGZNRAW8MFVHDQMPJG6Q&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_10&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGZNRAW8MFVHDQ.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,4.3,7399,436,Fixed Speed Compressor,Yes,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,13990,21590,35 
https://www.flipkart.com/panasonic-401-l-frost-free-double-door-2-star-refrigerator/p/itm69db07a81d9fa?pid=RFRGSC67YYHFZXGH&lid=LSTRFRGSC67YYHFZXGHBDERDW&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_11&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvh2oV_eMfyier74fmFLfXR7gRTSRqxKMdNjV-FhLVhf7evN4Mn-dv-pi277bRzMbnY%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Panasonic 401 L Frost Free Double Door 2 Star Refrigerator,4.3,63,14,Inverter Compressor,Yes,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Compressor,56990,88690,35 
https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-2-star-refrigerator/p/itm19c3f8212ab7d?pid=RFRGHRHHVGHG2RHF&lid=LSTRFRGHRHHVGHG2RHFXUYCTW&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_12&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvgc2vzST0FW1hSoHWFOueBGQcjmzoG-ifKCyk2_j-_aMEhz9c-MSIoFe8xMxkfU6dM%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,4.3,13478,743,1 Year on Product and 10 Years on Compressor from Whirlpool,Yes,1 Year on Product and 10 Years on Compressor from Whirlpool,12990,15400,15 
https://www.flipkart.com/samsung-215-l-direct-cool-single-door-5-star-refrigerator-digital-inverter/p/itm724f922c6cb47?pid=RFRGW5UP8CBG3A3E&lid=LSTRFRGW5UP8CBG3A3EKGLRU6&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_13&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGW5UP8CBG3A3E.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,4.4,13192,1116,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",19990,30999,35 
https://www.flipkart.com/whirlpool-235-l-frost-free-triple-door-refrigerator/p/itm5d0f65a152e99?pid=RFRHYFQ6GDUPGVQY&lid=LSTRFRHYFQ6GDUPGVQY7USH4R&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_14&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jviZlzH68OCFlMA9hwoTTPaI0rDP22Ke7QQ6uAi3HMslFonfEY2D5bWfIUmTlXs_oiU%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 235 L Frost Free Triple Door Refrigerator,4.3,39859,4287,Reciprocating Compressor,Yes,1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor,26990,34190,21 
https://www.flipkart.com/haier-185-l-direct-cool-single-door-2-star-refrigerator-deft-technologylarge-vegetable-box/p/itm2598986f09229?pid=RFRGWU8AFDEZQSHY&lid=LSTRFRGWU8AFDEZQSHYBT739K&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_15&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGWU8AFDEZQSHY.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 185 L Direct Cool Single Door 2 Star Refrigerator  with DEFT TechnologyLarge Vegetable Box,4.3,7377,516,Normal Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,11990,17090,29 
https://www.flipkart.com/godrej-223-l-frost-free-double-door-2-star-refrigerator-advanced-inverter-95-food-surface-disinfection/p/itmca5e112116c9e?pid=RFRGNGYVZBWHHWA8&lid=LSTRFRGNGYVZBWHHWA84F9G3I&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_16&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGNGYVZBWHHWA8.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 223 L Frost Free Double Door 2 Star Refrigerator  with Advanced Inverter and 95%+ Food Surface ...,4.2,3541,252,Inverter Compressor,Yes,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,20490,31590,35 
https://www.flipkart.com/whirlpool-192-l-direct-cool-single-door-3-star-refrigerator-auto-defrost/p/itmafcc1a11c8fd8?pid=RFRGY5XZM4BADWJF&lid=LSTRFRGY5XZM4BADWJFNHBABA&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_17&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvge80zYKDtGgwekhBnCAnHaAXCuCW3Zi_nf18LDLawttGVkv0XZFiOX7bbXdlao_f8%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator  with Auto Defrost,4.2,2899,172,Inverter Compressor,Yes,1 Year Comprehensive Warranty and 9 Years Warranty on Compressor,16740,20950,20 
https://www.flipkart.com/whirlpool-192-l-direct-cool-single-door-5-star-refrigerator/p/itm4ad18b6d72349?pid=RFRGXXYGZGKWG8ZM&lid=LSTRFRGXXYGZGKWG8ZMRLKN58&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_18&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvipeCNmxmJe8LRLyC6MA1M5bgBbeNB7bcZDy0jrayfLMfcUmN_6PwCReg_VTM4VLxo%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,4.4,6730,511,Reciprocating Compressor,Yes,1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor,17990,22800,21 
https://www.flipkart.com/samsung-189-l-direct-cool-single-door-5-star-refrigerator-base-drawer-digital-inverter/p/itm8a2ba13a934c0?pid=RFRGW5UP8XX8H3VF&lid=LSTRFRGW5UP8XX8H3VFZKCIXG&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&spotlightTagId=BestsellerId_j9e%2Fabm%2Fhzg&srno=s_1_19&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGW5UP8XX8H3VF.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,4.5,12060,819,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",18190,21999,17 
https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-2-star-refrigerator/p/itm0873838e8e95a?pid=RFRGHRHHRBAU7T46&lid=LSTRFRGHRHHRBAU7T46DWBWOT&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_20&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGHRHHRBAU7T46.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,4.3,19088,1179,1 Year on Product and 10 Years on the Compressor,N/A,1 Year on Product and 10 Years on the Compressor,14190,17000,16 
https://www.flipkart.com/godrej-223-l-frost-free-double-door-3-star-convertible-refrigerator-freezer-95-food-surface-disinfection/p/itmf2825a3d165bb?pid=RFRGMXXSTUNTJT6Q&lid=LSTRFRGMXXSTUNTJT6Q64VRUL&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_21&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvgD9ZWt5SYHZPfztBlB3PMm0JskXwOQ-UxnANF3aK75EOI7uWi7bi3WLqk6JF-UYDE%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 223 L Frost Free Double Door 3 Star Convertible Refrigerator  with Freezer 95%+ Food Surface Di...,4.2,2342,186,Inverter Compressor,Yes,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,22490,35290,36 
https://www.flipkart.com/godrej-180-l-direct-cool-single-door-5-star-refrigerator-jumbo-vegetable-traywith-faster-cooling-ice-making/p/itm1a4442d8410ad?pid=RFRGSZABWMEHBCC5&lid=LSTRFRGSZABWMEHBCC5YF58NN&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_22&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_PBqDgfkWY0PAEEWqmUkCMcmISz27Ob52TJvtmSu3jvhA8R2riSsepsjAy3NNZct8yiH1PdS1EQ1PDd3AaZbgpYE8waCTrWcncKeK_ydPfoM%3D&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 180 L Direct Cool Single Door 5 Star Refrigerator  with Jumbo Vegetable Tray�With Faster Coolin...,4.4,1387,97,Fixed Speed Compressor,Yes,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,15990,19990,20 
https://www.flipkart.com/lg-242-l-frost-free-double-door-3-star-refrigerator-doorcooling-smart-inverter-compressor/p/itme01a20547384b?pid=RFRGYRZDBHUEFEFW&lid=LSTRFRGYRZDBHUEFEFWXEFAHP&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_23&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGYRZDBHUEFEFW.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,LG 242 L Frost Free Double Door 3 Star Refrigerator  with DoorCooling+ & Smart Inverter Compressor,4.4,21210,1712,1 Year on Product and 10 Years on Compressor from LG,Yes,1 Year on Product and 10 Years on Compressor from LG,25990,37099,29 
https://www.flipkart.com/samsung-183-l-direct-cool-single-door-5-star-refrigerator-base-drawer-digital-inverter/p/itm3b074d0a8f96a?pid=RFRGW5UPCKN2YVYW&lid=LSTRFRGW5UPCKN2YVYWLWKJRQ&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_1_24&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=a042a916-7f05-46ed-802b-ce18b4fa4d91.RFRGW5UPCKN2YVYW.SEARCH&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,4.5,62143,4093,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",17690,22999,23 
https://www.flipkart.com/haier-190-l-direct-cool-single-door-4-star-refrigerator-toughned-glass-shelflarge-vegetable-box/p/itmd5e491a1e5e84?pid=RFRGHQAF6RHZS49X&lid=LSTRFRGHQAF6RHZS49X1FSMLE&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_2_25&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=49e8883c-39cd-48e4-82dc-7561e0a8f716.RFRGHQAF6RHZS49X.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 190 L Direct Cool Single Door 4 Star Refrigerator  with Toughned Glass ShelfLarge Vegetable Box,4.4,16111,1238,Normal Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,14990,20990,28 
https://www.flipkart.com/haier-190-l-direct-cool-single-door-5-star-refrigerator-base-drawer-large-storage-space1-hour-icing-technology/p/itm4a36daa8e302f?pid=RFRGT4YJZJJTHK63&lid=LSTRFRGT4YJZJJTHK63MW56DM&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_2_26&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=49e8883c-39cd-48e4-82dc-7561e0a8f716.RFRGT4YJZJJTHK63.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,4.4,15622,1209,Normal Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,16890,26590,36 
https://www.flipkart.com/godrej-180-l-direct-cool-single-door-4-star-refrigerator-large-vegetable-tray-2-25-bottle-space/p/itm94547f1ac1000?pid=RFRHFCQSG4RC5WEZ&lid=LSTRFRHFCQSG4RC5WEZNGXWFU&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_2_27&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=en_rBLxqt5PXq3irdVRTdaWFFbWiYE18x-R9aeTfuz3Gx6h7pm8cBMgNY0_KSVRoVtA4aAMwWnO1k9KAe07SGe0PA%3D%3D&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 180 L Direct Cool Single Door 4 Star Refrigerator  with Large Vegetable Tray And 2.25 L Bottle ...,4.4,7581,475,Fixed speed compressor,Yes,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,14990,17990,16 
https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-2-star-refrigerator/p/itm0873838e8e95a?pid=RFRGHRHHRBAU7T46&lid=LSTRFRGHRHHRBAU7T46DWBWOT&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_2_28&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=en_rBLxqt5PXq3irdVRTdaWFFbWiYE18x-R9aeTfuz3Gx7grE1N7chTK08KxKi85klYTmsznE33482lhLGd8hx9Gg%3D%3D&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,4.3,19088,1179,1 Year on Product and 10 Years on the Compressor,N/A,1 Year on Product and 10 Years on the Compressor,14190,17000,16 
https://www.flipkart.com/samsung-183-l-direct-cool-single-door-3-star-refrigerator-digital-inverter/p/itmf01477eb08fff?pid=RFRGHJPXPYGXUFS7&lid=LSTRFRGHJPXPYGXUFS7W1JGBF&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_2_29&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=49e8883c-39cd-48e4-82dc-7561e0a8f716.RFRGHJPXPYGXUFS7.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,4.4,15419,1199,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",15290,18999,19 
https://www.flipkart.com/samsung-236-l-frost-free-double-door-2-star-refrigerator-digital-inverter/p/itm8737a13956d12?pid=RFRGHJPX2SRHP6VD&lid=LSTRFRGHJPX2SRHP6VDWFMU88&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_2_30&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=49e8883c-39cd-48e4-82dc-7561e0a8f716.RFRGHJPX2SRHP6VD.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter,4.3,16226,1065,Digital Inverter Compressor,Yes,"1 year comprehensive warranty on the product, 20 years on compressor by the brand.",23690,30990,23 
https://www.flipkart.com/godrej-244-l-frost-free-double-door-3-star-refrigerator/p/itma2e287aabac8f?pid=RFRH6HVHYA8QSSZC&lid=LSTRFRH6HVHYA8QSSZCLF6ZAZ&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_2_31&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=en_rBLxqt5PXq3irdVRTdaWFFbWiYE18x-R9aeTfuz3Gx4RqrFBp8p4fqDyyjVJp-SFYnm2SuxSZSezdhIdBj5YnQ%3D%3D&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Godrej 244 L Frost Free Double Door 3 Star Refrigerator,4.1,532,52,Inverter Compressor,Yes,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Compressor,24990,35990,30 
